,AcresBurned,ArchiveYear,Counties,Extinguished,Location,Name,Started,Severity
1,257314,2013,Tuolumne,2013-09-06T18:30:00Z,3 miles east of Groveland along Hwy 120,Rim Fire,2013-08-17T15:25:00Z,0.627287598
2,30274,2013,Los Angeles,2013-06-08T18:30:00Z,Angeles National Forest,Powerhouse Fire,2013-05-30T15:28:00Z,0.073802843
3,27531,2013,Riverside,2013-07-30T18:00:00Z,Hwy 243 & Hwy 74 near Mountain Center,Mountain Fire,2013-07-15T13:43:00Z,0.067115877
4,27440,2013,Placer,2013-08-30T08:00:00Z,"Deadwood Ridge, northeast of Foresthill",American Fire,2013-08-10T16:30:00Z,0.066894035
5,24251,2013,Ventura,2013-05-11T06:30:00Z,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",Springs Fire,2013-05-02T07:01:00Z,0.059119797
6,22992,2013,Fresno,2013-09-24T20:15:00Z,Seven miles north of Big Creek,Aspen Fire,2013-07-22T22:15:00Z,0.05605057
7,20292,2013,Riverside,2013-08-12T18:00:00Z,"Poppet Flats Rd near Hwy 243, south of Banning",Silver Fire,2013-08-07T14:05:00Z,0.049468431
8,14754,2013,Siskiyou,2013-08-31T06:45:00Z,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",Salmon River Complex,2013-07-31T22:00:00Z,0.035967733
9,12503,2013,Humboldt,2013-08-12T12:00:00Z,Tish Tang Ridge east of Hoopa Valley Reservation,Corral Complex,2013-08-10T11:40:00Z,0.030480179
10,11429,2013,Tehama,2013-08-29T16:45:00Z,"Near Deer Creek, 12 miles east of Los Molinos. ",Deer Fire,2013-08-23T14:15:00Z,0.027861951
11,8073,2013,Shasta,2013-09-15T07:30:00Z,"Community of Igo, 10 miles southwest of Redding",Clover Fire,2013-09-09T12:32:00Z,0.019680596
12,7055,2013,San Diego,2013-07-15T06:15:00Z,"off Sunrise Hwy, 9 miles southeast of Julian",Chariot Fire,2013-07-06T12:55:00Z,0.017198885
13,6965,2013,Tehama,2013-05-09T09:00:00Z,"140K3 Line, 8 miles northwest of Butte Meadows",Panther Fire,2013-05-01T09:12:00Z,0.016979481
14,4346,2013,Kern,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",Grand Fire,2013-05-15T12:50:00Z,0.010594806
