,AcresBurned,ArchiveYear,Latitude,Longitude,Injuries,PersonnelInvolved,PercentContained,StructuresDestroyed,Severity,Label
1,20292,2013,33.86157,-116.90427,26,2106,100,40,0.088364012,A
2,11429,2013,40.04263,-121.85397,5,898,100,0,0.049768987,A
3,8073,2013,40.498332,-122.535496,6,342,100,201,0.035154872,A
4,7055,2013,32.95435,-116.47381,12,2147,100,149,0.030721866,A
5,6965,2013,40.190062,-121.595555,6,1811,100,0,0.03032995,A
6,4346,2013,34.7861,-118.9411,4,847,100,0,0.018925192,B
7,4346,2013,34.7861,-118.9411,4,847,100,0,0.018925192,B
8,3505,2013,38.8167,-122.8498,6,188,100,1,0.015262954,B
9,3166,2013,34.288877,-116.941311,2,726,100,1,0.013786737,B
10,3111,2013,37.90757,-121.882582,0,231,100,0,0.013547232,B
11,2781,2013,33.12111,-116.52579,5,911,100,0,0.012110207,B
12,2462,2013,39.446268,-121.38236,5,1484,100,7,0.010721082,B
13,1708,2013,37.58202,-119.91071,1,112,100,0,0.007437696,B
14,1271,2013,33.04458,-116.5209,6,1217,100,0,0.005534726,B
15,712,2013,34.882,-118.9194,5,502,100,0,0.003100492,C
16,534,2013,34.071556,-117.048397,0,282,100,0,0.002325369,C
17,406,2013,36.602575,-118.01651,2,476,100,0,0.001767977,C
18,376,2013,38.628,-122.289,0,4,100,0,0.001637338,C
19,305,2013,39.439,-121.497,0,259,100,4,0.00132816,C
20,263,2013,32.710918,-116.746023,2,294,100,0,0.001145266,C
21,217,2013,39.514139,-122.560862,0,221,100,0,0.000944953,C
22,196,2013,40.5445,-121.3754,0,347,100,0,0.000853506,C
23,190,2013,38.382,-122.311,0,150,100,1,0.000827378,C
24,125,2013,38.638828,-122.655616,0,249,100,0,0.000544328,C
25,120,2013,38.882214,-122.567525,0,285,100,1,0.000522555,C
26,92,2013,39.6612,-121.50354,2,80,100,0,0.000400625,D
27,80,2013,39.731878,-121.713938,1,35,100,0,0.00034837,D
28,75,2013,37.169379,-119.75636,0,221,100,0,0.000326597,D
29,75,2013,34.1834,-117.4408,1,292,100,1,0.000326597,D
30,51,2013,35.457978,-120.751555,0,219,100,0,0.000222086,D
31,46,2013,38.06231,-120.45233,2,169,100,0,0.000200313,D
32,40,2013,33.655638,-116.161201,0,65,100,0,0.000174185,D
33,32416,2014,40.72,-121.562,11,78,100,21,0.141159462,A
34,13153,2014,41.1336,-121.2144,7,297,100,6,0.057276357,A
35,6488,2014,38.512,-122.104,5,87,100,0,0.028252795,A
36,4300,2014,38.664,-122.454,4,0,100,9,0.018724879,B
37,4300,2014,38.664,-122.454,4,0,100,9,0.018724879,B
38,4240,2014,38.5691,-120.7819,2,40,100,67,0.018463602,B
39,4240,2014,38.5691,-120.7819,2,40,100,67,0.018463602,B
40,2143,2014,34.169346,-117.547374,3,583,100,0,0.009331957,B
41,1995,2014,33.1137,-117.1599,3,514,100,40,0.008687473,B
42,1548,2014,33.003,-117.133,3,211,100,0,0.006740957,B
43,1469,2014,41.489,-120.904,0,427,100,0,0.006396941,B
44,1375,2014,40.7101,-122.171,4,169,100,4,0.005987607,B
45,632,2014,34.609,-120.454,0,548,100,0,0.002752122,C
46,612,2014,37.3433,-119.6581,3,188,100,47,0.002665029,C
47,580,2014,40.7412,-122.946,2,46,100,1,0.002525681,C
48,516,2014,41.42384,-122.37432,1,453,100,165,0.002246986,C
49,320,2014,37.311915,-119.604124,4,90,100,69,0.001393479,C
50,247,2014,39.113682,-120.999508,0,53,100,0,0.001075592,C
51,217,2014,33.078948,-116.576454,4,91,100,3,0.000944953,C
52,130,2014,37.7103,-120.197,1,10,100,0,0.000566101,C
53,113,2014,37.399,-118.352,0,256,100,0,0.000492072,C
54,75,2014,40.5719,-121.3415,0,108,100,0,0.000326597,D
55,69438,2015,38.8863538,-122.4762475,0,227,100,96,0.302376318,A
56,4250,2015,34.339,-117.478,0,215,100,68,0.018507148,B
57,2700,2015,37.3845,-121.3732,0,18,100,0,0.011757482,B
58,2446,2015,35.3477,-120.6269,1,692,100,1,0.010651408,B
59,2304,2015,39.192088,-120.882313,6,27,100,2,0.010033052,B
60,1086,2015,36.3699644,-121.589554,0,55,100,20,0.004729121,B
61,1049,2015,33.884313,-117.642759,0,54,100,0,0.004568,B
62,1042,2015,39.5218,-121.3363,1,613,100,0,0.004537517,B
63,920,2015,37.165767,-119.523943,0,43,100,3,0.004006253,C
64,673,2015,55.23,-122,0,270,100,0,0.002930661,C
65,670,2015,36.70854,-121.32734,3,108,100,0,0.002917597,C
66,400,2015,39.43963,-121.38794,0,8,100,16,0.001741849,C
67,212,2015,40.415108,-122.439939,2,120,100,5,0.00092318,C
68,204,2015,37.823,-120.15644,0,115,100,0,0.000888343,C
69,158,2015,41.295667,-123.784067,2,57,100,0,0.00068803,C
70,158,2015,39.2688,-121.26471,3,250,100,0,0.00068803,C
71,150,2015,38.4113,-122.0789,0,275,100,0,0.000653193,C
