,AcresBurned,ArchiveYear,Latitude,Longitude,Injuries,PersonnelInvolved,StructuresDestroyed,MajorIncident
1,257314,2013,37.857,-120.086,0,0,0,FALSE
2,30274,2013,34.585595,-118.423176,0,0,0,FALSE
3,27531,2013,33.7095,-116.72885,0,0,0,FALSE
4,27440,2013,39.12,-120.65,0,0,0,FALSE
5,22992,2013,37.279,-119.318,0,0,0,FALSE
6,20292,2013,33.86157,-116.90427,26,2106,40,TRUE
7,14754,2013,41.32,-123.176,0,0,0,FALSE
8,12503,2013,41.035,-123.488,0,0,0,FALSE
9,11429,2013,40.04263,-121.85397,5,898,0,TRUE
10,8073,2013,40.498332,-122.535496,6,342,201,TRUE
11,7055,2013,32.95435,-116.47381,12,2147,149,TRUE
12,6965,2013,40.190062,-121.595555,6,1811,0,TRUE
13,4346,2013,34.7861,-118.9411,4,847,0,TRUE
14,4346,2013,34.7861,-118.9411,4,847,0,TRUE
15,3505,2013,38.8167,-122.8498,6,188,1,TRUE
16,3166,2013,34.288877,-116.941311,2,726,1,TRUE
17,3111,2013,37.90757,-121.882582,0,231,0,TRUE
18,2781,2013,33.12111,-116.52579,5,911,0,TRUE
19,2462,2013,39.446268,-121.38236,5,1484,7,TRUE
20,2236,2013,33.341,-117.3092,0,0,0,FALSE
21,2060,2013,36.208,-118.444,0,0,0,FALSE
22,1984,2013,34.55048,-119.82429,0,0,0,FALSE
23,1708,2013,37.58202,-119.91071,1,112,0,TRUE
24,1383,2013,33.62236,-117.40288,0,0,0,FALSE
25,1271,2013,33.04458,-116.5209,6,1217,0,TRUE
26,1070,2013,38.25108,-120.02778,0,0,0,FALSE
27,794,2013,35.707,-118.588,0,0,0,FALSE
28,712,2013,34.882,-118.9194,5,502,0,TRUE
29,712,2013,34.49149,-118.610044,0,0,0,FALSE
30,612,2013,34.90327,-118.93388,0,0,0,FALSE
31,572,2013,38.774,-120.298,0,0,0,FALSE
32,534,2013,34.071556,-117.048397,0,282,0,TRUE
33,513,2013,40.00842,-120.764666,0,0,0,FALSE
34,510,2013,33.894055,-116.855019,0,0,0,FALSE
35,502,2013,41.2415,-121.035,0,0,0,FALSE
36,500,2013,35.15832,-120.05131,0,0,0,FALSE
37,492,2013,37.96866,-121.91453,0,0,0,FALSE
38,482,2013,37.015575,-119.78106,0,0,1,TRUE
39,413,2013,34.302,-117.598,0,0,0,FALSE
40,406,2013,36.602575,-118.01651,2,476,0,TRUE
41,376,2013,38.628,-122.289,0,4,0,TRUE
42,354,2013,37.160346,-120.937494,0,0,0,FALSE
43,305,2013,39.439,-121.497,0,259,4,TRUE
44,303,2013,38.04993,-120.90325,0,0,0,FALSE
45,298,2013,39.434183,-121.576804,0,0,9,TRUE
46,274,2013,39.90465,-121.74367,0,0,0,FALSE
47,274,2013,37.116295,-119.635004,0,0,0,FALSE
48,268,2013,34.149,-117.908,0,0,0,FALSE
49,263,2013,32.710918,-116.746023,2,294,0,TRUE
50,243,2013,34.35,-117.62,0,0,0,FALSE
