Author,Title,Description,URL
Annie Correal,Dixie Fire Dispatch  Returning Home to a Valley Filled With Flames,A beloved ranching community in Northern California faces destruction by America s largest wildfire ,https://www.nytimes.com/2021/08/25/us/dixie-fire-taylorsville.html
Johnny Diaz,Large Wildfire in Minnesota Imperils Homes Fouls Air in Region,The Greenwood fire in the Superior National Forest has burned about        acres near the Canadian border since Aug    ,https://www.nytimes.com/2021/08/26/us/greenwood-fire-minnesota.html
https://www.facebook.com/bbcnews,Algeria s desperate wildfire fight  Buckets and branches,Despite a huge military budget oil rich Algeria is ill equipped to tackle annual fires ,https://www.bbc.co.uk/news/world-africa-58269789
Mike Ives,Dixie Fire Threatens Towns in Northern California,The wildfire is one of at least six large ones burning in Northern California High winds low humidity and searing temperatures exacerbate the risk that fire will spread ,https://www.nytimes.com/2021/08/17/us/dixie-fire-updates-janesville-susanville.html
Simon Romero,Booming Utah s Weak Link  Surging Air Pollution,A red hot economy wildfire smoke from California and the shriveling of the Great Salt Lake are making Utah s alarming pollution even worse ,https://www.nytimes.com/2021/09/07/us/great-salt-lake-utah-air-quality.html
Aya Elamroussi, CNN,Northern California wildfire triples in size forcing thousands to evacuate,Thousands of people have been evacuated as a wildfire ignited over the weekend in Northern California tripled in size within a day and almost leveled a small town officials said ,https://www.cnn.com/2021/08/18/weather/us-western-wildfires-wednesday/index.html
Reuters Editorial,Greek island residents face wildfire aftermath Reuters,Residents of the Greek seaside village of Rovies mourn a lost paradise of pristine pine forests and family homes scorched by wildfires that burned for nine days Soraya Ali reports ,https://www.reuters.com/video/watch/idOVEQ9BL2J
Simon Little,Wildfire burning     km from Ladysmith B C grows to    hectares Globalnews ca, ol  li Wildfire burning     km from Ladysmith B C grows to    hectares  Globalnews ca    li  li New wildfire burning out of control on southern Vancouver Island  CTV Edmonton    li  li State of Local Emergency declared due to Mount Hayes wildfire  Cowichan ,https://globalnews.ca/news/8127421/ladysmith-wildfire/
Reuters,Wildfire blazes in Jerusalem hills Reuters,A wildfire blazed in hills west of Jerusalem on Sunday forcing the evacuation of several small outlying communities emergency services and witnesses said as clouds of smoke drifted over parts of the city about    km  six miles  away ,https://www.reuters.com/world/middle-east/wildfire-blazes-jerusalem-hills-2021-08-15/
Thomas Fuller, Livia Albeck-Ripka and Max Whittaker,To Save Lake Tahoe They Spared No Expense The Fire Came Over the Ridge Anyway ,Experts believe the challenge is a cautionary tale for future megafires in the West and lays bare a certain futility in trying to fully control the most aggressive wildfires ,https://www.nytimes.com/2021/08/31/us/lake-tahoe-nevada-fire.html
Thomas Fuller, Livia Albeck-Ripka and Max Whittaker,Explosive weekend growth on Tremont Creek wildfire leads to more evacuations and alerts CFJC Today Kamloops, ol  li Explosive weekend growth on Tremont Creek wildfire leads to more evacuations and alerts  CFJC Today Kamloops    li  li Winds increase activity of wildfire east of Mabel Lake   Vernon Morning Star  Vernon Morning Star    li  li Rain and cooler temperat ,https://cfjctoday.com/2021/08/16/explosive-weekend-growth-on-tremont-creek-wildfire-leads-to-more-evacuations-and-alerts/
